DS1-J-0001	関西地方では現在も納豆をあまり食べないのですか?
DS1-J-0002	最近理系学生が減り文系学生が増えると言う現象があると聞きますが、なにか公的なデータを教えてください。
DS1-J-0003	今から50年前 40年前 30年前 20年前 10年前の 道路の総延長を知りたいんですが 知っている方教えてください。
DS1-J-0004	ゴマの自給率の根拠資料を探しています。
DS1-J-0005	出生の統計で月別の多い少ないというのはありませんか。
DS1-J-0006	肉牛を家畜として飼育する場合、肉にするまで一頭あたりいくらかかりますか?
DS1-J-0007	大型のトレーラー運転出来ない人は世の中結構いますか?
DS1-J-0008	全国に労働者派遣の方はどれくらいいらっしゃるのでしょうか? 
DS1-J-0009	別荘を持っている人はどれくらいいますか
DS1-J-0010	世界の国別でパソコン所有率が分かるページを教えてください。
DS1-J-0011	男性保育士は何%くらいいますか?
DS1-J-0012	3人家族の家の1ヶ月の食費はいくらが妥当ですか?
DS1-J-0013	今の日本人で一番人口の多い世代はやはり団塊の世代(昭和20年代)とその子供の世代(昭和47年くらい)ですか?
DS1-J-0014	人口30万人程度の都市の名前を教えてください。
DS1-J-0015	日本の二酸化炭素の総排出量は?
DS1-J-0016	戦後直後からの警察官数の推移が分かるページを教えてください。
DS1-J-0017	畑&田んぼが一番多い県はどこなのでしょうか?
DS1-J-0018	日本のGDPで、農業・工業・サービス業が占める割合ってどれくらいなんでしょうか?
DS1-J-0019	どの職種にどのくらいの人間が勤めているかわかりますか?
DS1-J-0020	2005年の全国平均降水量のデータがある場所や数値を教えて下さい。
DS1-J-0021	光熱費の平均額について教えてください。
DS1-J-0022	都内の単身者の年齢・収入別の食費が分かる統計情報を教えてください。
DS1-J-0023	日本にはスペイン語とポルトガル語の利用者・話者どちらが多いですか?
DS1-J-0024	日本の住宅は1日どれくらい解体されているのですか?
DS1-J-0025	農業の売り上げを地域別に教えてください
DS1-J-0026	日本の穀物生産量の推移を示すグラフや表を教えてください
DS1-J-0027	野菜個別の値段の移り変わりが乗ってるところって ありませんかね?
DS1-J-0028	日本で一番仕事が多い都道府県はどこですか?
DS1-J-0029	現在図書館が設置されていない自治体はどれだけありますか?
DS1-J-0030	日本人1人あたり 1年間に どれだけお金を 使っているのでしょうか?
DS1-J-0031	32歳女性の夏のボーナスの平均額ってどれくらいなんでしょう?
DS1-J-0032	日本国内のビニールハウスの規模の平均を、地域別に教えてください。
DS1-J-0033	東京の飲食店は何店舗有りますか?
DS1-J-0034	旅館は全国でいくつぐらいありますか?
DS1-J-0035	高校生男子って1年生から3年生の高校卒業するまで伸びる平均的な長さってどのくらいなのでしょうか?
DS1-J-0036	刑務所に入ったことある人って日本人のおおよそ何人に一人くらいですか?
DS1-J-0037	普通の看護師と准看護師って給料はどれくらい違うんですか?
DS1-J-0038	一反の農地の価格はいくらくらいするのでしょうか?
DS1-J-0039	日本にはどれくらいの川や沼や池、湿地、湖、お堀がありますか?
DS1-J-0040	全国の美術館、博物館、水族館などの来場者数及び業界伸び率についてここ数年の動向を教えて下さい。
DS1-J-0041	お菓子の中でもアイスの値上がりが激しくないですか?
DS1-J-0042	銀行業界で働く人数を知りたいです。どれだけの人が銀行(信用金庫等)で働いているのでしょうか?
DS1-J-0043	日本で目が悪い人は何割ぐらいなのでしょうか。
DS1-J-0044	うつ病患者数の人口分布が載っているサイトを教えてください
DS1-J-0045	最新の日本の男女出生比率について､男の子のほうが多いと思っていたのですが、最近は女の子のほうが多いのでしょうか?
DS1-J-0046	世界の都市人口ランキングのようなページがあったら教えてください。
DS1-J-0047	反あたり(10アールあたり)トマトの収量が1.7tだったのですが、これって多いほうですか?
DS1-J-0048	一般的な平均貯蓄額はいくらぐらいですか?
DS1-J-0049	日本では一秒間に何人の命が誕生し、一秒間に何人の命が失われているのでしょうか。
DS1-J-0050	日本に遊園地がいくつあるか分かる方いらっしゃいますか?
DS1-J-0051	携帯電話はだいたい何年おきに買い換える人が多いと思いますか?
DS1-J-0052	カンキツの品種ごとの消費統計が載っているページがあったら教えてください。
DS1-J-0053	日本に住んでいるアメリカ人は何人くらいいるのでしょうか?
DS1-J-0054	日本に空き家はどれくらいありますか?
DS1-J-0055	日本に工場はいくつくらいありますか?
DS1-J-0056	昭和40年代から今にかけての大卒初任給の推移グラフはありますか。
DS1-J-0057	総務省 統計局 小売物価動向調査のページ で過去の物価水準を見たいです。 
DS1-J-0058	大学の学生数が4000人って少ないですか? 何人くらいが全国平均なんでしょうか?
DS1-J-0059	イギリスと日本の貿易の輸出入を表す円グラフを探しています。
DS1-J-0060	山芋生産量第1位ってどこですか
DS1-J-0061	平成22年にもっとも検挙数の多かった交通違反を教えてください。
DS1-J-0062	映画館の入場料金の変化が分かる資料はないでしょうか。
DS1-J-0063	都内の家賃相場を調べているのですが、10年前、20年前、30年前でどれ位変動しているのですか?
DS1-J-0064	都道府県別の単身者数と割合がわかるサイトはありませんか。
DS1-J-0065	日本で普通自動車免許を取得している人って全人口のどれぐらいでしょうか?
DS1-J-0066	日本の地方の人口は減少しているのでしょうか?
DS1-J-0067	大学研究費予算の推移を教えてください
DS1-J-0068	今の日本では、未婚化や晩婚化は進んできていますか? 
DS1-J-0069	各県別で、そこに住む人の平均通勤時間がわかる統計はありませんか。
DS1-J-0070	日本の働いている人の職業は10人に1人は建築関係って聞いたんですが本当なんでしょうか?
DS1-J-0071	現在の自衛隊の規模は約24万人ですが、それ以上に規模が多かった時期はあったんですか?
DS1-J-0072	近年の日本の輸入、輸出についてカテゴリー別の割合を教えてください。
DS1-J-0073	マンション含め戸建て等 持ち家に住んでいる人と 賃貸に住んでいる人 どっちが多いと 思いますか?
DS1-J-0074	医療費は年々あがってまよね? 平成29年度から平成30年度にかけて医療費があがっているというデータがあったらおしえてください。
DS1-J-0075	各都道府県の年度別の平均収入が知りたのですがありますか?
DS1-J-0076	ここ近年の日本の教員(小中高校)の総人数の推移の情報やグラフを探しています。
DS1-J-0077	年代別にどういった物・サービスが好まれるかわかるような資料はありますか?
DS1-J-0078	日本人の大卒の割合って何パーセントぐらいなんですか? 
DS1-J-0079	日本の現在の食料自給率を教えてください。
DS1-J-0080	雪のあるところに行きたいです。 3月の半ばでも雪が積もっているところといえば、北海道くらいでしょうか?
DS1-J-0081	はんらん川について教えて下さい。日本にはいくつありますか? 
DS1-J-0082	全市区町村の面積、人口のわかるサイトありましたら 教えてください。
DS1-J-0083	現在、日本でのテレビの普及率はどれくらいですか?
DS1-J-0084	テレビの普及と読書時間の変化を調べていますが、統計など何かいい資料はないでしょうか?
DS1-J-0085	日本で一番たくさん穫れる(重さに換算して)お魚を教えてください。
DS1-J-0086	りんご・さくらんぼの古いのと新しい統計データを教えてください
DS1-J-0087	日本でたくさんの牛をかっている都道府県の順位を教えてもらえますか?
DS1-J-0088	日本で一番多い商売はやっぱり飲食店でしょうか?
DS1-J-0089	1年間の交通事故数ってだいたいどのくらいですか?
DS1-J-0090	各都道府県の電力需要データは掲載されていますか
DS1-J-0091	国立大学、私立大学の入学者の比率はどのくらいでしょうか?
DS1-J-0092	食事の欧米化と言われていますが、食事内容がどのように変わってきたかという、推移が書かれている資料はどこで閲覧できるでしょうか?
DS1-J-0093	無宗教を含む、日本の宗教別信者数の割合のデータを探しています。
DS1-J-0094	学生起業家の数はふえているのですか?
DS1-J-0095	高学歴と低学歴の人での犯罪率ってどれくらいの差があるんですか?
DS1-J-0096	現在、首都圏のサラリーマンの平均通勤時間はどれ位なのでしょう?
DS1-J-1001	日本人の6割は文系ですか?
DS1-J-1002	神奈川県小田原市から小田急線などを利用して東京都心まで通勤されている方はどのくらいいらっしゃいますか?
DS1-J-1003	カレーライスの消費率が多い都道府県は何処ですか?
DS1-J-1004	普通会社の退職金の相場っていくらくらいなんですか?
DS1-J-1005	日本の全ての自治体の年間予算の一覧はないでしょうか?
DS1-J-1006	日本全国20歳未満の人口が載っているデータを教えて頂きたいです。
DS1-J-1007	各県の木造住宅の普及率が知りたいです。
DS1-J-1008	パソコンってどれくらいで買い替えますか?
DS1-J-1009	全国の市区町村別、高齢者数・高齢化率などを教えてください。
DS1-J-1010	各都道府県の鉱工業の情報をおしえてください。
